month,year,month_num,weighted_O,weighted_R,weighted_alpha,weighted_ORA_sum,hostile_event_count,hostile_signal_raw,hostile_admission_count,hostile_allegation_count,hostile_procedural_count,hostile_signal_decay_3m,hostile_signal_decay_6m,hostile_signal_decay_12m,month_str
2019-11-01,2019,11,2.2681073846638324,2.3054637065029127,1.8753031018737207,6.448874193040466,0.0,0.0,0.0,0.0,0.0,1.2634368075234574,3.7734271603559617,7.256191106146006,2019-11
2019-12-01,2019,12,2.3087112265784913,2.3273893874980316,1.8862816879231616,6.522382301999685,0.0,0.0,0.0,0.0,0.0,1.00279045867904,3.361741420157067,6.848932393000579,2019-12
2020-01-01,2020,1,2.3493150684931505,2.3493150684931505,1.8972602739726028,6.595890410958904,0.0,0.0,0.0,0.0,0.0,0.7959153145053907,2.9949711219372146,6.464531355046808,2020-01
2020-02-01,2020,2,2.3521726925668087,2.377855752676098,1.9017235571524815,6.631752002395388,0.0,0.0,0.0,0.0,0.0,0.6317184037617288,2.668215933401198,6.101705089554063,2020-02
2020-03-01,2020,3,2.355030316640467,2.4063964368590463,1.9061868403323603,6.667613593831874,0.0,0.0,0.0,0.0,0.0,0.5013952293395201,2.377110154788756,5.759242697589232,2020-03
2020-04-01,2020,4,2.357887940714125,2.434937121041994,1.910650123512239,6.703475185268358,0.0,0.0,0.0,0.0,0.0,0.39795765725269544,2.117764389779686,5.436001242754099,2020-04
2020-05-01,2020,5,2.3607455647877833,2.463477805224942,1.9151134066921176,6.739336776704843,0.0,0.0,0.0,0.0,0.0,0.31585920188086447,1.8867135801779802,5.130901936741357,2020-05
2020-06-01,2020,6,2.3636031888614415,2.4920184894078896,1.9195766898719964,6.775198368141328,0.0,0.0,0.0,0.0,0.0,0.2506976146697601,1.6808707100785327,4.842926538978919,2020-06
2020-07-01,2020,7,2.3664608129350997,2.5205591735908373,1.9240399730518751,6.811059959577813,0.0,0.0,0.0,0.0,0.0,0.19897882862634775,1.4974855609686066,4.571113958346659,2020-07
2020-08-01,2020,8,2.3693184370087583,2.5490998577737853,1.928503256231754,6.846921551014297,0.0,0.0,0.0,0.0,0.0,0.15792960094043226,1.3341079667005986,4.314557045624149,2020-08
2020-09-01,2020,9,2.3721760610824165,2.577640541956733,1.9329665394116327,6.882783142450782,0.0,0.0,0.0,0.0,0.0,0.12534880733488007,1.1885550773943778,4.072399565964451,2020-09
2020-10-01,2020,10,2.3750336851560747,2.606181226139681,1.9374298225915112,6.918644733887267,0.0,0.0,0.0,0.0,0.0,0.0994894143131739,1.058882194889843,3.8438333412899235,2020-10
2020-11-01,2020,11,2.377891309229733,2.6347219103226287,1.94189310577139,6.954506325323751,0.0,0.0,0.0,0.0,0.0,0.07896480047021615,0.9433567900889901,3.628095553073004,2020-11
2020-12-01,2020,12,2.380748933303391,2.663262594505577,1.9463563889512687,6.990367916760237,0.0,0.0,0.0,0.0,0.0,0.06267440366744005,0.8404353550392664,3.4244661965002905,2020-12
2021-01-01,2021,1,2.3836065573770493,2.6918032786885244,1.9508196721311475,7.026229508196721,0.0,0.0,0.0,0.0,0.0,0.049744707156586965,0.7487427804843033,3.232265677523405,2021-01
2021-02-01,2021,2,2.385766328389279,2.69341226472374,1.954653482522335,7.033832075635354,0.0,0.0,0.0,0.0,0.0,0.03948240023510809,0.6670539833502993,3.0508525447770323,2021-02
2021-03-01,2021,3,2.3879260994015095,2.6950212507589555,1.9584872929135224,7.041434643073987,0.0,0.0,0.0,0.0,0.0,0.03133720183372003,0.5942775386971889,2.879621348794617,2021-03
2021-04-01,2021,4,2.3900858704137393,2.6966302367941712,1.9623211033047099,7.04903721051262,0.0,0.0,0.0,0.0,0.0,0.024872353578293486,0.5294410974449215,2.7180006213770502,2021-04
2021-05-01,2021,5,2.392245641425969,2.6982392228293866,1.9661549136958973,7.056639777951253,0.0,0.0,0.0,0.0,0.0,0.019741200117554047,0.47167839504449505,2.5654509683706794,2021-05
2021-06-01,2021,6,2.3944054124381995,2.6998482088646023,1.9699887240870848,7.064242345389886,0.0,0.0,0.0,0.0,0.0,0.01566860091686002,0.4202176775196332,2.4214632694894602,2021-06
2021-07-01,2021,7,2.3965651834504293,2.7014571948998176,1.973822534478272,7.071844912828519,0.0,0.0,0.0,0.0,0.0,0.012436176789146746,0.37437139024215166,2.2855569791733306,2021-07
2021-08-01,2021,8,2.398724954462659,2.7030661809350334,1.9776563448694595,7.079447480267152,0.0,0.0,0.0,0.0,0.0,0.009870600058777025,0.33352699167514965,2.157278522812075,2021-08
2021-09-01,2021,9,2.4008847254748895,2.704675166970249,1.981490155260647,7.087050047705785,1.0,2.8,0.0,1.0,0.0,2.80783430045843,3.0971387693485943,4.836199782982226,2021-09
2021-10-01,2021,10,2.4030444964871194,2.7062841530054644,1.9853239656518344,7.094652615144418,0.0,0.0,0.0,0.0,0.0,2.2285795611500525,2.7592369595154107,4.564764746153704,2021-10
2021-11-01,2021,11,2.4052042674993492,2.70789313904068,1.989157776043022,7.102255182583051,0.0,0.0,0.0,0.0,0.0,1.768824769882211,2.458200670277727,4.308564187329453,2021-11
2021-12-01,2021,12,2.4073640385115795,2.7095021250758955,1.9929915864342094,7.109857750021684,0.0,0.0,0.0,0.0,0.0,1.4039171502292151,2.19000782608215,4.066743060960547,2021-12
2022-01-01,2022,1,2.4095238095238094,2.7111111111111112,1.9968253968253968,7.117460317460317,0.0,0.0,0.0,0.0,0.0,1.1142897805750265,1.9510751649738984,3.8384943115171826,2022-01
2022-02-01,2022,2,2.4087301587301586,2.7261687917425625,2.013210165669182,7.148109116141903,0.0,0.0,0.0,0.0,0.0,0.8844123849411056,1.7382103634706971,3.623056180015871,2022-02
2022-03-01,2022,3,2.407936507936508,2.7412264723740134,2.0295949345129674,7.178757914823488,0.0,0.0,0.0,0.0,0.0,0.7019585751146077,1.5485693846742974,3.4197096617196423,2022-03
2022-04-01,2022,4,2.407142857142857,2.7562841530054647,2.0459797033567524,7.209406713505073,0.0,0.0,0.0,0.0,0.0,0.5571448902875134,1.3796184797577056,3.227776106526574,2022-04
2022-05-01,2022,5,2.4063492063492062,2.7713418336369156,2.062364472200538,7.240055512186659,0.0,0.0,0.0,0.0,0.0,0.44220619247055293,1.2291003351388634,3.046614954038163,2022-05
2022-06-01,2022,6,2.4055555555555554,2.786399514268367,2.078749241044323,7.270704310868245,0.0,0.0,0.0,0.0,0.0,0.35097928755730395,1.095003913041075,2.8756215957485405,2022-06
