candidate_name,f_value,entropy_production,free_energy_barrier,geodesic_curvature,kl_divergence,fisher_information,separatrix_pe_distance,boundary_distance,c_range_coverage,pe_curve_symmetry,effective_temperature
"d^{3/2}_{3/2,3/2}(theta)",0.6495190528,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,15.5748758212,15.5748758212,0.2923863005,inf,0.0562498913
"d^{3/2}_{1/2,1/2}(theta)",0.2165063509,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,31.5607896077,31.5607896077,0.0974621002,inf,0.0562498913
"d^2_{2,2}(theta)",0.5625000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,17.7828121888,17.7828121888,0.2532139639,inf,0.0562498913
"d^2_{1,1}(theta)",0.0000000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,46.5039666213,46.5039666213,0.0000000000,inf,0.0562498913
1/(1+tan^2(theta/2)),0.7500000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,13.4588723357,13.4588723357,0.3376186186,inf,0.0562498913
(1-tan^2(theta/2))/(1+tan^2(theta/2)),0.5000000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,19.6225127947,19.6225127947,0.2250790790,inf,0.0562498913
"Y_1^0(theta,0) normalized",0.5000000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,19.6225127947,19.6225127947,0.2250790790,inf,0.0562498913
"|Y_1^1(theta,0)| normalized",0.8660254038,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,11.4876527886,11.4876527886,0.3898484006,inf,0.0562498913
sqrt(cos(theta)),0.7071067812,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,14.3106653472,14.3106653472,0.3183098862,inf,0.0562498913
arccos(sqrt(cos(theta)))/pi,0.2500000000,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,29.7738298024,29.7738298024,0.1125395395,inf,0.0562498913
1-H(theta)/log(4),0.5943609378,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,16.9296327590,16.9296327590,0.2675564250,inf,0.0562498913
(cos(theta)+1)/pi,0.4774648293,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,20.3441746500,20.3441746500,0.2149346881,inf,0.0562498913
sqrt(3)/(1+theta),0.8460594370,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,11.7953546956,11.7953546956,0.3808605578,inf,0.0562498913
pi/(2*(1+theta)),0.7672910345,7.9648206570,0.1682459947,0.1021029928,2.0043853972,7.9648207546,13.1355330398,13.1355330398,0.3454023188,inf,0.0562498913
