state,state_abbr,year,sex,pct_sadness,pct_sadness_lo,pct_sadness_hi,pct_suicide,pct_suicide_lo,pct_suicide_hi,n_sadness,n_suicide
Hawaii,HI,2011,Male,23.47,21.14,25.97,11.96,9.85,14.45,1912,1957
Hawaii,HI,2011,Total,29.48,27.41,31.63,16.13,14.38,18.06,4206,4293
Hawaii,HI,2013,Female,37.09,33.88,40.41,20.43,17.92,23.18,2397,2432
Hawaii,HI,2013,Male,22.35,19.63,25.32,13.06,10.55,16.06,2101,2136
Hawaii,HI,2013,Total,29.77,27.59,32.04,16.89,14.76,19.26,4520,4591
Hawaii,HI,2015,Female,36.21,33.51,39.01,20.1,17.85,22.56,2987,2978
Hawaii,HI,2015,Male,22.45,20.39,24.65,11.68,9.83,13.83,2923,2908
Hawaii,HI,2015,Total,29.52,27.67,31.44,16.02,14.18,18.06,5955,5927
Hawaii,HI,2017,Female,35.04,32.75,37.41,18.69,17.12,20.37,2906,2942
Hawaii,HI,2017,Male,23.36,21.46,25.37,12.55,11.05,14.23,2799,2845
Hawaii,HI,2017,Total,29.48,27.92,31.09,16.02,14.78,17.33,5775,5861
Hawaii,HI,2019,Female,44.1,40.5,47.7,20.1,17.2,23.4,,
Hawaii,HI,2019,Male,25.3,22.8,28.0,13.3,11.5,15.3,,
Hawaii,HI,2019,Total,34.7,32.6,36.9,16.7,15.2,18.4,,
Hawaii,HI,2021,Female,46.9,44.3,49.5,22.7,20.6,25.0,,
Hawaii,HI,2021,Male,23.4,20.4,26.7,10.7,9.2,12.5,,
Hawaii,HI,2021,Total,34.8,32.4,37.3,16.6,15.6,17.7,,
Hawaii,HI,2023,Female,46.2,43.2,49.2,20.6,18.2,23.2,,
Hawaii,HI,2023,Male,24.2,21.7,26.9,11.2,9.5,13.1,,
Hawaii,HI,2023,Total,34.9,32.5,37.3,15.8,14.0,17.8,,
Iowa,IA,2011,Female,28.32,24.77,32.17,17.6,14.95,20.6,796,796
Iowa,IA,2011,Male,17.52,14.5,21.02,11.81,9.1,15.2,732,732
Iowa,IA,2011,Total,22.75,20.44,25.25,14.59,12.73,16.66,1535,1535
Iowa,IA,2017,Female,39.75,34.39,45.36,24.8,20.44,29.75,807,817
Iowa,IA,2017,Male,18.85,15.67,22.49,15.54,11.94,19.98,850,857
Iowa,IA,2017,Total,29.21,26.55,32.02,20.25,16.78,24.23,1664,1682
Iowa,IA,2019,Female,43.5,38.5,48.6,26.5,22.7,30.6,,
Iowa,IA,2019,Male,23.5,19.5,28.0,13.4,10.3,17.2,,
Iowa,IA,2019,Total,33.3,29.6,37.2,20.0,17.6,22.7,,
Iowa,IA,2021,Female,49.5,45.1,54.0,29.5,25.1,34.3,,
Iowa,IA,2021,Male,27.5,22.2,33.4,14.8,11.4,19.0,,
Iowa,IA,2021,Total,39.1,35.0,43.2,22.6,18.8,26.8,,
Idaho,ID,2011,Female,33.65,29.55,38.01,16.83,14.05,20.04,890,891
Idaho,ID,2011,Male,21.29,18.5,24.37,14.03,11.59,16.87,803,802
Idaho,ID,2011,Total,27.31,24.73,30.06,15.38,13.15,17.92,1698,1698
Idaho,ID,2013,Female,38.79,35.97,41.69,21.26,18.35,24.5,915,914
Idaho,ID,2013,Male,20.39,18.09,22.9,10.55,8.74,12.68,967,965
Idaho,ID,2013,Total,29.37,27.19,31.64,15.78,13.65,18.17,1883,1880
Idaho,ID,2015,Female,42.72,38.99,46.54,27.18,23.73,30.92,880,877
Idaho,ID,2015,Male,21.24,18.3,24.51,12.86,10.55,15.59,865,866
Idaho,ID,2015,Total,31.64,29.11,34.27,19.8,17.49,22.33,1752,1751
Idaho,ID,2017,Female,46.33,43.01,49.67,29.17,25.95,32.62,951,948
Idaho,ID,2017,Male,23.98,20.53,27.8,14.33,11.68,17.46,853,851
Idaho,ID,2017,Total,35.03,32.04,38.14,21.75,19.31,24.39,1807,1801
Idaho,ID,2019,Female,46.1,41.5,50.9,26.3,22.5,30.4,,
Idaho,ID,2019,Male,31.6,27.4,36.1,16.5,13.5,20.1,,
Idaho,ID,2019,Total,38.9,35.5,42.5,21.6,19.1,24.3,,
Idaho,ID,2021,Female,54.8,51.5,58.0,26.0,21.9,30.5,,
Idaho,ID,2021,Male,33.0,28.5,37.9,15.1,12.5,18.1,,
Idaho,ID,2021,Total,44.8,41.7,47.8,21.3,18.5,24.5,,
Illinois,IL,2011,Female,34.65,30.72,38.81,17.91,15.69,20.37,1783,1771
Illinois,IL,2011,Male,20.69,18.68,22.86,10.65,9.0,12.55,1776,1767
Illinois,IL,2011,Total,27.58,25.09,30.22,14.27,13.06,15.57,3567,3546
Illinois,IL,2013,Female,37.42,34.25,40.71,25.11,21.5,29.09,1716,1723
Illinois,IL,2013,Male,19.99,17.74,22.44,12.58,10.09,15.57,1492,1499
Illinois,IL,2013,Total,28.7,27.22,30.22,18.86,17.05,20.81,3219,3236
Illinois,IL,2015,Female,36.82,32.56,41.31,18.85,15.77,22.37,1595,1619
Illinois,IL,2015,Male,21.7,18.19,25.68,12.89,10.02,16.43,1579,1589
Illinois,IL,2015,Total,29.27,26.07,32.69,15.91,13.85,18.2,3190,3222
Illinois,IL,2017,Female,43.09,39.92,46.32,23.29,20.05,26.88,2539,2531
Illinois,IL,2017,Male,21.41,19.41,23.56,11.14,9.28,13.32,2330,2339
Illinois,IL,2017,Total,32.25,30.25,34.32,17.24,15.37,19.28,4910,4911
Illinois,IL,2019,Female,46.0,42.3,49.7,23.7,21.3,26.2,,
Illinois,IL,2019,Male,26.8,22.5,31.6,13.9,10.7,17.9,,
Illinois,IL,2019,Total,36.3,32.9,40.0,19.0,16.8,21.4,,
Illinois,IL,2021,Female,56.2,53.1,59.3,27.7,24.3,31.4,,
Illinois,IL,2021,Male,27.7,25.0,30.6,12.4,10.6,14.4,,
Illinois,IL,2021,Total,42.1,39.6,44.6,20.3,18.3,22.4,,
Illinois,IL,2023,Female,51.6,46.1,57.0,27.0,23.2,31.1,,
Illinois,IL,2023,Male,25.0,21.2,29.2,11.4,9.3,13.9,,
Illinois,IL,2023,Total,38.2,34.7,41.9,19.2,16.9,21.7,,
Indiana,IN,2011,Female,34.51,31.25,37.92,21.52,17.56,26.1,1469,1493
