time,mean_x_A,mean_x_B,pe_weighted_A,pe_weighted_B,r_A,r_B
7.720000,1.716009,1.552893,1.840760,1.540173,0.157760,0.028587
7.760000,1.700958,1.554185,1.827488,1.543636,0.154713,0.025017
7.800000,1.687581,1.555028,1.816709,1.541395,0.146251,0.025912
7.840000,1.677587,1.547520,1.810335,1.534622,0.155981,0.031351
7.880000,1.679775,1.554193,1.813061,1.538306,0.143981,0.030267
7.920000,1.679819,1.552412,1.808857,1.538456,0.136561,0.026181
7.960000,1.693877,1.553910,1.822698,1.539815,0.150034,0.027615
8.000000,1.710023,1.556248,1.830399,1.543244,0.153777,0.025318
8.040000,1.718142,1.557213,1.840104,1.543763,0.156865,0.028001
8.080000,1.722087,1.560487,1.842898,1.544716,0.149487,0.032274
8.120000,1.695080,1.559291,1.824295,1.540466,0.153503,0.030816
8.160000,1.703229,1.556370,1.825819,1.539257,0.153194,0.033133
8.200000,1.690104,1.556601,1.822561,1.539679,0.152046,0.024046
8.240000,1.705005,1.552389,1.830216,1.540183,0.148351,0.026001
8.280000,1.698690,1.553380,1.827844,1.541155,0.165771,0.029052
8.320000,1.701847,1.557514,1.829431,1.541898,0.157452,0.032866
8.360000,1.707743,1.553929,1.835879,1.538318,0.157749,0.028283
8.400000,1.707250,1.557437,1.832836,1.541858,0.156299,0.027623
8.440000,1.709446,1.562687,1.835422,1.544011,0.161144,0.025319
8.480000,1.693476,1.554721,1.823320,1.538061,0.155716,0.028623
8.520000,1.696023,1.555640,1.824610,1.541357,0.159159,0.030240
8.560000,1.692750,1.557517,1.822137,1.542856,0.148242,0.024524
8.600000,1.697990,1.552981,1.825140,1.539448,0.138666,0.026515
8.640000,1.695899,1.553346,1.824671,1.542011,0.143743,0.026635
8.680000,1.701637,1.557986,1.831556,1.545250,0.156324,0.029912
8.720000,1.711424,1.561060,1.834284,1.546016,0.160164,0.030133
8.760000,1.714085,1.554893,1.839744,1.540973,0.160046,0.024364
8.800000,1.709656,1.556449,1.843595,1.541680,0.169248,0.026033
8.840000,1.714604,1.554263,1.840228,1.539051,0.152427,0.025341
8.880000,1.697063,1.555129,1.828827,1.540224,0.152645,0.029434
8.920000,1.699707,1.553019,1.826015,1.538842,0.142055,0.027274
8.960000,1.700644,1.554409,1.828335,1.542299,0.146780,0.029847
9.000000,1.706122,1.555292,1.828450,1.541497,0.157171,0.031002
9.040000,1.705243,1.553810,1.830340,1.539509,0.147131,0.030517
9.080000,1.710561,1.553276,1.833825,1.537036,0.156709,0.026772
9.120000,1.712422,1.556275,1.838618,1.544166,0.163675,0.029626
9.160000,1.712410,1.558824,1.834655,1.541251,0.149416,0.025911
9.200000,1.706213,1.552528,1.831403,1.538620,0.151632,0.026955
9.240000,1.711579,1.557073,1.841127,1.542600,0.155457,0.026363
9.280000,1.706066,1.551236,1.832288,1.536347,0.148502,0.026156
9.320000,1.702838,1.556258,1.823544,1.538990,0.169111,0.031478
9.360000,1.701238,1.563421,1.826278,1.546073,0.155652,0.030802
9.400000,1.703272,1.554705,1.829387,1.540938,0.148150,0.030385
9.440000,1.712547,1.558324,1.838694,1.543139,0.149869,0.032285
9.480000,1.719322,1.560967,1.836104,1.540798,0.152263,0.031094
9.520000,1.712915,1.557491,1.838544,1.540050,0.155748,0.023910
9.560000,1.704663,1.558379,1.829874,1.541978,0.159699,0.025099
9.600000,1.699285,1.558175,1.821781,1.543089,0.149300,0.028676
9.640000,1.699909,1.554167,1.828755,1.539232,0.152970,0.025968
9.680000,1.701306,1.556802,1.828669,1.544202,0.146775,0.026918
9.720000,1.707931,1.556828,1.829784,1.541885,0.145418,0.028468
9.760000,1.706552,1.558284,1.836082,1.543945,0.141896,0.024834
9.800000,1.701412,1.553940,1.828595,1.539752,0.144953,0.022448
9.840000,1.694183,1.550763,1.824736,1.536644,0.143294,0.025427
9.880000,1.691841,1.551028,1.817926,1.537953,0.138258,0.025533
9.920000,1.688089,1.551439,1.817135,1.536568,0.134175,0.027484
9.960000,1.699119,1.557964,1.827488,1.544077,0.148090,0.030111
10.000000,1.688109,1.548988,1.816830,1.537991,0.145784,0.028602
10.040000,1.681093,1.548724,1.815243,1.535209,0.152393,0.026985
10.080000,1.685038,1.558054,1.808149,1.540602,0.149550,0.031286
10.120000,1.685153,1.559631,1.818826,1.542267,0.146929,0.028431
10.160000,1.693495,1.553381,1.821649,1.539126,0.132966,0.024016
10.200000,1.703637,1.557115,1.827584,1.541936,0.156227,0.030924
10.240000,1.697179,1.554120,1.823457,1.538344,0.156700,0.025640
10.280000,1.695253,1.553462,1.827642,1.540264,0.150791,0.032981
10.320000,1.698590,1.554223,1.825932,1.541961,0.158145,0.030653
10.360000,1.696691,1.553553,1.824910,1.537197,0.141490,0.026129
10.400000,1.693118,1.557003,1.825066,1.545360,0.140387,0.025245
10.440000,1.696847,1.555286,1.829049,1.539819,0.151391,0.024328
10.480000,1.696503,1.554489,1.826840,1.540804,0.144627,0.029343
10.520000,1.697613,1.550882,1.828492,1.538293,0.152619,0.024541
10.560000,1.703464,1.553164,1.828007,1.542190,0.155066,0.029688
10.600000,1.711934,1.551925,1.833714,1.537453,0.162092,0.027438
10.640000,1.725778,1.560019,1.849003,1.544613,0.157026,0.024567
10.680000,1.704369,1.555490,1.827330,1.539381,0.160547,0.027115
10.720000,1.691536,1.556939,1.820307,1.542042,0.172795,0.031655
10.760000,1.695724,1.549416,1.822459,1.535605,0.172370,0.024850
10.800000,1.712778,1.556090,1.842107,1.542769,0.159998,0.023970
10.840000,1.704504,1.556917,1.831793,1.543175,0.161769,0.024069
10.880000,1.710525,1.561552,1.833198,1.544655,0.160315,0.027022
10.920000,1.699937,1.557219,1.830811,1.545146,0.162426,0.028921
10.960000,1.699751,1.551096,1.821695,1.537345,0.159609,0.024231
11.000000,1.726637,1.557777,1.850213,1.543108,0.168070,0.025133
11.040000,1.720278,1.555188,1.838622,1.537498,0.159684,0.025414
11.080000,1.701984,1.556759,1.827947,1.541456,0.162694,0.028382
11.120000,1.707284,1.552631,1.831649,1.538022,0.165042,0.028241
11.160000,1.699688,1.551836,1.824058,1.535913,0.158598,0.031287
11.200000,1.704137,1.561664,1.831118,1.543398,0.158650,0.029502
11.240000,1.687529,1.557900,1.814470,1.541098,0.165952,0.034859
11.280000,1.708237,1.562789,1.831444,1.545100,0.163476,0.030632
11.320000,1.705303,1.553429,1.830762,1.536512,0.154276,0.028083
11.360000,1.710654,1.556968,1.837029,1.542419,0.152855,0.028817
11.400000,1.701946,1.559481,1.832509,1.543926,0.149954,0.028109
11.440000,1.692186,1.554849,1.821307,1.540629,0.145497,0.030960
11.480000,1.691485,1.556258,1.821568,1.537759,0.132772,0.022293
11.520000,1.683890,1.555182,1.811974,1.538926,0.135445,0.025676
11.560000,1.688007,1.559785,1.813602,1.543042,0.141414,0.030146
11.600000,1.703574,1.557352,1.831319,1.539417,0.145504,0.028809
11.640000,1.703407,1.558304,1.830830,1.542288,0.156224,0.031389
11.680000,1.711593,1.558922,1.840682,1.540556,0.155313,0.028495
11.720000,1.703936,1.556148,1.832537,1.537741,0.150391,0.028472
11.760000,1.700456,1.554655,1.831324,1.538131,0.150546,0.027327
11.800000,1.693425,1.556989,1.825446,1.541846,0.147674,0.028134
11.840000,1.689229,1.552003,1.819233,1.538159,0.142641,0.028979
11.880000,1.691623,1.555546,1.824282,1.542513,0.159151,0.028336
11.920000,1.685558,1.554134,1.818536,1.540570,0.157439,0.027416
11.960000,1.687141,1.552458,1.817648,1.538858,0.147214,0.027469
12.000000,1.703690,1.562022,1.831324,1.546290,0.149978,0.028415
12.040000,1.702910,1.553640,1.828333,1.540487,0.168674,0.038591
12.080000,1.711540,1.554157,1.834668,1.539591,0.163940,0.028999
12.120000,1.714234,1.552240,1.836917,1.538533,0.157675,0.031897
12.160000,1.689053,1.548647,1.818462,1.535933,0.144547,0.027794
12.200000,1.702764,1.558950,1.828162,1.541923,0.153673,0.023701
12.240000,1.702471,1.554140,1.823720,1.537632,0.134108,0.022879
12.280000,1.698591,1.554592,1.818513,1.539534,0.145733,0.024567
12.320000,1.692753,1.548126,1.817204,1.532451,0.146848,0.030749
12.360000,1.685228,1.555857,1.816739,1.541601,0.141252,0.022501
12.400000,1.696695,1.556151,1.825146,1.540790,0.150027,0.029126
12.440000,1.714190,1.554103,1.841402,1.541019,0.151187,0.026809
12.480000,1.703149,1.556339,1.835012,1.542323,0.154241,0.026776
12.520000,1.687390,1.555684,1.812398,1.539735,0.155528,0.031250
12.560000,1.698215,1.554223,1.832612,1.540174,0.168269,0.028173
12.600000,1.704794,1.556305,1.830984,1.538646,0.159258,0.023650
12.640000,1.706640,1.552359,1.831799,1.539597,0.142299,0.022702
12.680000,1.706024,1.556513,1.825979,1.538694,0.148641,0.027520
12.720000,1.687366,1.552354,1.808898,1.539708,0.155271,0.027586
12.760000,1.692295,1.552894,1.818618,1.538694,0.136337,0.022290
12.800000,1.702452,1.556453,1.835167,1.542370,0.137302,0.022586
12.840000,1.709649,1.555180,1.832304,1.539746,0.152606,0.024113
12.880000,1.694013,1.552931,1.822406,1.542048,0.151882,0.027160
12.920000,1.694364,1.552107,1.820602,1.539415,0.143563,0.029305
12.960000,1.702904,1.556725,1.829628,1.542412,0.151570,0.040935
13.000000,1.695545,1.548885,1.824089,1.534856,0.154492,0.027989
13.040000,1.694704,1.550445,1.826872,1.536697,0.144886,0.031807
13.080000,1.689038,1.553912,1.819525,1.539673,0.147004,0.028825
13.120000,1.689356,1.551918,1.817189,1.538616,0.141579,0.024907
13.160000,1.697180,1.555281,1.825789,1.543381,0.147862,0.031268
13.200000,1.707696,1.557333,1.831411,1.543481,0.159602,0.024521
13.240000,1.708735,1.555313,1.833632,1.542960,0.152621,0.021158
13.280000,1.711637,1.561189,1.841683,1.546447,0.149271,0.026114
13.320000,1.708637,1.556196,1.833937,1.541433,0.152995,0.029616
13.360000,1.696568,1.553290,1.828469,1.539783,0.141217,0.030715
13.400000,1.690119,1.554646,1.816776,1.540787,0.154160,0.024380
13.440000,1.688402,1.550879,1.819388,1.539184,0.155621,0.026925
13.480000,1.704898,1.557740,1.833029,1.542892,0.156032,0.026085
13.520000,1.709795,1.558194,1.833144,1.543971,0.151223,0.024507
13.560000,1.709196,1.552872,1.836212,1.539384,0.156847,0.023316
13.600000,1.712084,1.547944,1.833639,1.534477,0.171308,0.037171
13.640000,1.724704,1.558747,1.851207,1.543398,0.162981,0.027764
13.680000,1.704108,1.553877,1.830520,1.538187,0.160616,0.027112
13.720000,1.692417,1.552306,1.815714,1.534889,0.146276,0.029317
13.760000,1.691257,1.555557,1.817178,1.538161,0.143643,0.031277
13.800000,1.708479,1.552665,1.833651,1.537883,0.155344,0.026164
13.840000,1.699478,1.553338,1.829356,1.538535,0.160088,0.027392
13.880000,1.692695,1.556643,1.826619,1.541436,0.155233,0.023147
13.920000,1.682054,1.552456,1.811964,1.539895,0.148870,0.027993
13.960000,1.690703,1.550952,1.817512,1.536249,0.147171,0.026802
14.000000,1.688786,1.552778,1.821611,1.539235,0.153063,0.032958
14.040000,1.705336,1.552378,1.831324,1.540891,0.135682,0.024040
14.080000,1.696885,1.548009,1.829895,1.539520,0.146340,0.033004
14.120000,1.709881,1.554490,1.831017,1.540087,0.153831,0.029913
14.160000,1.714908,1.556648,1.839907,1.540800,0.159842,0.031482
14.200000,1.712815,1.558592,1.838947,1.540618,0.175596,0.036588
14.240000,1.717697,1.563150,1.841982,1.543534,0.156725,0.033830
14.280000,1.711695,1.553694,1.836075,1.535213,0.158277,0.032408
14.320000,1.706348,1.556022,1.829502,1.538867,0.155953,0.025957
14.360000,1.703661,1.559938,1.833461,1.541928,0.165474,0.025490
14.400000,1.695645,1.558510,1.824003,1.540528,0.163900,0.022246
14.440000,1.695192,1.555648,1.826440,1.541316,0.166733,0.031754
14.480000,1.675207,1.547610,1.803791,1.533621,0.159083,0.028954
14.520000,1.694925,1.550110,1.821031,1.535205,0.152861,0.025174
14.560000,1.685518,1.557066,1.817848,1.543019,0.156972,0.025019
14.600000,1.696489,1.553986,1.823909,1.538560,0.140589,0.025452
14.640000,1.698460,1.553746,1.826768,1.538706,0.138528,0.023047
14.680000,1.708504,1.554239,1.835700,1.538817,0.143485,0.028533
14.720000,1.693516,1.554362,1.826240,1.540112,0.149426,0.026936
14.760000,1.701621,1.556879,1.831134,1.542813,0.148335,0.026314
14.800000,1.699674,1.555133,1.828158,1.539831,0.148191,0.025038
14.840000,1.703029,1.554242,1.831070,1.540601,0.159465,0.033827
14.880000,1.704139,1.553241,1.832825,1.538644,0.151758,0.027708
14.920000,1.714469,1.558985,1.837929,1.540895,0.165952,0.033327
14.960000,1.707078,1.558483,1.831666,1.541963,0.164769,0.026968
15.000000,1.715598,1.555831,1.834643,1.540570,0.154274,0.024753
15.040000,1.692337,1.552248,1.822814,1.540183,0.159849,0.031447
15.080000,1.689848,1.548491,1.821231,1.538356,0.161189,0.024731
15.120000,1.710757,1.557643,1.837047,1.543429,0.143844,0.027843
15.160000,1.710018,1.558668,1.833293,1.542306,0.145730,0.028403
15.200000,1.691656,1.553460,1.821472,1.541764,0.142720,0.026569
15.240000,1.682433,1.552938,1.814627,1.542654,0.150413,0.028707
15.280000,1.700246,1.553306,1.827762,1.538273,0.144644,0.027346
15.320000,1.705551,1.558162,1.825819,1.540766,0.155994,0.025824
15.360000,1.720365,1.552033,1.844261,1.538447,0.159019,0.030131
15.400000,1.710778,1.556407,1.836811,1.542403,0.148521,0.025324
15.440000,1.711636,1.554297,1.837157,1.538385,0.157398,0.024088
15.480000,1.726597,1.554911,1.848344,1.539711,0.163622,0.028583
15.520000,1.711720,1.558563,1.835566,1.541804,0.141734,0.026087
15.560000,1.688403,1.555647,1.820290,1.538976,0.151852,0.028636
15.600000,1.696088,1.559241,1.826905,1.543970,0.142374,0.023726
15.640000,1.697452,1.552863,1.829796,1.540322,0.148609,0.033168
15.680000,1.698014,1.559771,1.826878,1.544053,0.147914,0.024663
15.720000,1.705774,1.554896,1.831121,1.539758,0.145164,0.027705
15.760000,1.718446,1.562665,1.844951,1.545924,0.159559,0.032776
15.800000,1.711368,1.553301,1.838318,1.539664,0.155690,0.029218
