topology,scenario,timestep,n_infected
erdos_renyi,B_hub,8.5000,27
erdos_renyi,B_hub,8.6000,26
erdos_renyi,B_hub,8.7000,25
erdos_renyi,B_hub,8.8000,26
erdos_renyi,B_hub,8.9000,27
erdos_renyi,B_hub,9.0000,27
erdos_renyi,B_hub,9.1000,29
erdos_renyi,B_hub,9.2000,27
erdos_renyi,B_hub,9.3000,27
erdos_renyi,B_hub,9.4000,24
erdos_renyi,B_hub,9.5000,26
erdos_renyi,B_hub,9.6000,26
erdos_renyi,B_hub,9.7000,25
erdos_renyi,B_hub,9.8000,26
erdos_renyi,B_hub,9.9000,25
erdos_renyi,B_hub,10.0000,28
erdos_renyi,B_hub,10.1000,25
erdos_renyi,B_hub,10.2000,27
erdos_renyi,B_hub,10.3000,28
erdos_renyi,B_hub,10.4000,29
erdos_renyi,B_hub,10.5000,27
erdos_renyi,B_hub,10.6000,29
erdos_renyi,B_hub,10.7000,27
erdos_renyi,B_hub,10.8000,27
erdos_renyi,B_hub,10.9000,25
erdos_renyi,B_hub,11.0000,24
erdos_renyi,B_hub,11.1000,23
erdos_renyi,B_hub,11.2000,27
erdos_renyi,B_hub,11.3000,27
erdos_renyi,B_hub,11.4000,26
erdos_renyi,B_hub,11.5000,26
erdos_renyi,B_hub,11.6000,27
erdos_renyi,B_hub,11.7000,26
erdos_renyi,B_hub,11.8000,28
erdos_renyi,B_hub,11.9000,27
erdos_renyi,B_hub,12.0000,28
erdos_renyi,B_hub,12.1000,25
erdos_renyi,B_hub,12.2000,25
erdos_renyi,B_hub,12.3000,24
erdos_renyi,B_hub,12.4000,25
erdos_renyi,B_hub,12.5000,24
erdos_renyi,B_hub,12.6000,22
erdos_renyi,B_hub,12.7000,23
erdos_renyi,B_hub,12.8000,24
erdos_renyi,B_hub,12.9000,26
erdos_renyi,B_hub,13.0000,27
erdos_renyi,B_hub,13.1000,30
erdos_renyi,B_hub,13.2000,31
erdos_renyi,B_hub,13.3000,28
erdos_renyi,B_hub,13.4000,28
erdos_renyi,B_hub,13.5000,27
erdos_renyi,B_hub,13.6000,27
erdos_renyi,B_hub,13.7000,29
erdos_renyi,B_hub,13.8000,28
erdos_renyi,B_hub,13.9000,29
erdos_renyi,B_hub,14.0000,32
erdos_renyi,B_hub,14.1000,31
erdos_renyi,B_hub,14.2000,29
erdos_renyi,B_hub,14.3000,32
erdos_renyi,B_hub,14.4000,29
erdos_renyi,B_hub,14.5000,27
erdos_renyi,B_hub,14.6000,28
erdos_renyi,B_hub,14.7000,27
erdos_renyi,B_hub,14.8000,26
erdos_renyi,B_hub,14.9000,28
erdos_renyi,B_hub,15.0000,27
erdos_renyi,B_hub,15.1000,26
erdos_renyi,B_hub,15.2000,26
erdos_renyi,B_hub,15.3000,24
erdos_renyi,B_hub,15.4000,25
erdos_renyi,B_hub,15.5000,23
erdos_renyi,B_hub,15.6000,25
erdos_renyi,B_hub,15.7000,27
erdos_renyi,B_hub,15.8000,30
erdos_renyi,B_hub,15.9000,27
erdos_renyi,B_hub,16.0000,27
erdos_renyi,B_hub,16.1000,29
erdos_renyi,B_hub,16.2000,29
erdos_renyi,B_hub,16.3000,29
erdos_renyi,B_hub,16.4000,29
erdos_renyi,B_hub,16.5000,27
erdos_renyi,B_hub,16.6000,29
erdos_renyi,B_hub,16.7000,30
erdos_renyi,B_hub,16.8000,30
erdos_renyi,B_hub,16.9000,32
erdos_renyi,B_hub,17.0000,30
erdos_renyi,B_hub,17.1000,28
erdos_renyi,B_hub,17.2000,28
erdos_renyi,B_hub,17.3000,28
erdos_renyi,B_hub,17.4000,29
erdos_renyi,B_hub,17.5000,28
erdos_renyi,B_hub,17.6000,30
erdos_renyi,B_hub,17.7000,29
