Pe_start,M,K_eff,F,c_function
5,186,1.07379012,-0.0362665,0.0
5,187,1.07379012,-0.0362665,0.0
5,188,1.07379012,-0.0362665,0.0
5,189,1.07379012,-0.0362665,0.0
5,190,1.07379012,-0.0362665,0.0
5,191,1.07379012,-0.0362665,0.0
5,192,1.07379012,-0.0362665,0.0
5,193,1.07379012,-0.0362665,0.0
5,194,1.07379012,-0.0362665,0.0
5,195,1.07379012,-0.0362665,0.0
5,196,1.07379012,-0.0362665,0.0
5,197,1.07379012,-0.0362665,0.0
5,198,1.07379012,-0.0362665,0.0
5,199,1.07379012,-0.0362665,0.0
5,200,1.07379012,-0.0362665,0.0
10,2,1.00055737,-0.00027865,
10,3,1.00055829,-0.0002791,-1.37e-06
10,4,1.00055829,-0.00027911,-0.0
10,5,1.00055829,-0.00027911,-0.0
10,6,1.00055829,-0.00027911,0.0
10,7,1.00055829,-0.00027911,0.0
10,8,1.00055829,-0.00027911,0.0
10,9,1.00055829,-0.00027911,0.0
10,10,1.00055829,-0.00027911,0.0
10,11,1.00055829,-0.00027911,0.0
10,12,1.00055829,-0.00027911,0.0
10,13,1.00055829,-0.00027911,0.0
10,14,1.00055829,-0.00027911,0.0
10,15,1.00055829,-0.00027911,0.0
10,16,1.00055829,-0.00027911,0.0
10,17,1.00055829,-0.00027911,0.0
10,18,1.00055829,-0.00027911,0.0
10,19,1.00055829,-0.00027911,0.0
10,20,1.00055829,-0.00027911,0.0
10,21,1.00055829,-0.00027911,0.0
10,22,1.00055829,-0.00027911,0.0
10,23,1.00055829,-0.00027911,0.0
10,24,1.00055829,-0.00027911,0.0
10,25,1.00055829,-0.00027911,0.0
10,26,1.00055829,-0.00027911,0.0
10,27,1.00055829,-0.00027911,0.0
10,28,1.00055829,-0.00027911,0.0
10,29,1.00055829,-0.00027911,0.0
10,30,1.00055829,-0.00027911,0.0
10,31,1.00055829,-0.00027911,0.0
10,32,1.00055829,-0.00027911,0.0
10,33,1.00055829,-0.00027911,0.0
10,34,1.00055829,-0.00027911,0.0
10,35,1.00055829,-0.00027911,0.0
10,36,1.00055829,-0.00027911,0.0
10,37,1.00055829,-0.00027911,0.0
10,38,1.00055829,-0.00027911,0.0
10,39,1.00055829,-0.00027911,0.0
10,40,1.00055829,-0.00027911,0.0
10,41,1.00055829,-0.00027911,0.0
10,42,1.00055829,-0.00027911,0.0
10,43,1.00055829,-0.00027911,0.0
10,44,1.00055829,-0.00027911,0.0
10,45,1.00055829,-0.00027911,0.0
10,46,1.00055829,-0.00027911,0.0
10,47,1.00055829,-0.00027911,0.0
10,48,1.00055829,-0.00027911,0.0
10,49,1.00055829,-0.00027911,0.0
10,50,1.00055829,-0.00027911,0.0
10,51,1.00055829,-0.00027911,0.0
10,52,1.00055829,-0.00027911,0.0
10,53,1.00055829,-0.00027911,0.0
10,54,1.00055829,-0.00027911,0.0
10,55,1.00055829,-0.00027911,0.0
10,56,1.00055829,-0.00027911,0.0
10,57,1.00055829,-0.00027911,0.0
10,58,1.00055829,-0.00027911,0.0
10,59,1.00055829,-0.00027911,0.0
10,60,1.00055829,-0.00027911,0.0
10,61,1.00055829,-0.00027911,0.0
10,62,1.00055829,-0.00027911,0.0
10,63,1.00055829,-0.00027911,0.0
10,64,1.00055829,-0.00027911,0.0
10,65,1.00055829,-0.00027911,0.0
10,66,1.00055829,-0.00027911,0.0
10,67,1.00055829,-0.00027911,0.0
10,68,1.00055829,-0.00027911,0.0
10,69,1.00055829,-0.00027911,0.0
10,70,1.00055829,-0.00027911,0.0
10,71,1.00055829,-0.00027911,0.0
10,72,1.00055829,-0.00027911,0.0
10,73,1.00055829,-0.00027911,0.0
10,74,1.00055829,-0.00027911,0.0
10,75,1.00055829,-0.00027911,0.0
10,76,1.00055829,-0.00027911,0.0
10,77,1.00055829,-0.00027911,0.0
10,78,1.00055829,-0.00027911,0.0
10,79,1.00055829,-0.00027911,0.0
10,80,1.00055829,-0.00027911,0.0
10,81,1.00055829,-0.00027911,0.0
10,82,1.00055829,-0.00027911,0.0
10,83,1.00055829,-0.00027911,0.0
10,84,1.00055829,-0.00027911,0.0
